Code;Nom;DCI;Marque;Categorie;Rayon;Prix Vente;Prix Achat;Rx;Quantite;Date de preremption;Emplacement
bldna0002;"BLEDINA COMPOTE LEGUMES VERTS;POULET";;"BLEDINA COMPOTE LEGUMES VERTS;POULET";PARAPHARMA;PARAPHARMA;45000;32000;Non;7;46478;rayon
BLENA01;BLEDINA COMPOTE LOT 1;;BLEDINA COMPOTE LOT 1;PARAPHARMA;PARAPHARMA;20000;14000;Non;9;2027-02-01;rayon
bledina120;BLEDINA COMPOTE LOT DE 2 BANANE;;BLEDINA COMPOTE LOT DE 2 BANANE;PARAPHARMA;PARAPHARMA;30000;21000;Non;0;2027-03-01;rayon
BLN1200000;BLEDINA COMPOTE LOT DE 4;;BLEDINA COMPOTE LOT DE 4;PARAPHARMA;PARAPHARMA;100000;71000;Non;1;2026-11-01;rayon
bdlc000001;BLEDINA COMPOTE LOT DE 8;;BLEDINA COMPOTE LOT DE 8;PARAPHARMA;PARAPHARMA;180000;128500;Non;11;2026-12-01;rayon
bldna00002;BLEDINA COMPOTE MOUSSELINE DE RATATOUILLE;;BLEDINA COMPOTE MOUSSELINE DE RATATOUILLE;PARAPHARMA;PARAPHARMA;45000;0;Non;1;2027-04-01;rayon
N°00000004;BLEDINA COMPOTE POMME;;BLEDINA COMPOTE POMME;PARAPHARMA;PARAPHARMA;0;0;Non;0;2028-09-01;rayon
BLNA02;BLEDINA COMPOTE POMME FRAISE BANANE;;BLEDINA COMPOTE POMME FRAISE BANANE;PARAPHARMA;PARAPHARMA;45000;32000;Non;0;2026-10-01;rayon
BLDA100000;BLEDINA COMPOTE POMME FRAISES;;BLEDINA COMPOTE POMME FRAISES;PARAPHARMA;PARAPHARMA;45000;32000;Non;0;2026-08-01;rayon
BLNA010000;BLEDINA COMPOTE POMME KIWIS ANANAS;;BLEDINA COMPOTE POMME KIWIS ANANAS;PARAPHARMA;PARAPHARMA;45000;32000;Non;0;2026-10-01;rayon
BLNA100002;BLEDINA COMPOTE POMME MANGUE;;BLEDINA COMPOTE POMME MANGUE;PARAPHARMA;PARAPHARMA;50000;35500;Non;1;2027-08-01;rayon
BLEDIN0002;BLEDINA COMPOTE POMME MANGUE;;BLEDINA COMPOTE POMME MANGUE;PARAPHARMA;PARAPHARMA;50000;35500;Non;0;2027-01-01;rayon
BLN1000000;BLEDINA COMPOTE POMME MANGUE PASSION;;BLEDINA COMPOTE POMME MANGUE PASSION;PARAPHARMA;PARAPHARMA;45000;32000;Non;5;2027-02-01;rayon
BLEDINA003;BLEDINA COMPOTE POMME PECHE FRAISE;;BLEDINA COMPOTE POMME PECHE FRAISE;PARAPHARMA;PARAPHARMA;45000;32000;Non;0;2027-01-01;rayon
bled0074;BLEDINA COMPOTE POMME POIRE MANDARINE;;BLEDINA COMPOTE POMME POIRE MANDARINE;PARAPHARMA;PARAPHARMA;45000;0;Non;6;2027-01-01;rayon
bleda00001;BLEDINA COMPOTE PUREE DE PANAIS DINDE;;BLEDINA COMPOTE PUREE DE PANAIS DINDE;PARAPHARMA;PARAPHARMA;45000;32000;Non;18;2026-12-01;rayon
BLDNA01;BLEDINA COMPOTE TOMATES RIZ POULET;;BLEDINA COMPOTE TOMATES RIZ POULET;PARAPHARMA;PARAPHARMA;45000;32000;Non;4;2027-05-01;rayon
bled000003;BLEDINA DOUCEUR VANILLE;;BLEDINA DOUCEUR VANILLE;PARAPHARMA;PARAPHARMA;60000;42000;Non;0;2026-10-01;rayon
BLN G00001;BLEDINA GOURDE LACTEE;;BLEDINA GOURDE LACTEE;PARAPHARMA;PARAPHARMA;100000;70000;Non;0;2026-07-01;rayon
blnav00002;BLEDINA MINI LACTE VANILLE;;BLEDINA MINI LACTE VANILLE;PARAPHARMA;PARAPHARMA;50000;35500;Non;9;2026-10-01;rayon
bledina01;BLEDINA PETIT DEJ;;BLEDINA PETIT DEJ;PARAPHARMA;PARAPHARMA;50000;35500;Non;0;2026-11-01;rayon
BLEDIN0004;BLEDINA POMME POIRE;;BLEDINA POMME POIRE;PARAPHARMA;PARAPHARMA;0;0;Non;0;2027-02-01;rayon
bldna00003;"BLEDINA PUREE AUBERGINES;TOMATES;AGNEAU";;"BLEDINA PUREE AUBERGINES;TOMATES;AGNEAU";PARAPHARMA;PARAPHARMA;2023-03-15;32000;Non;0;46357;rayon
comp sal01;BLEDINA SALADE DE LENTILLES;;BLEDINA SALADE DE LENTILLES;PARAPHARMA;PARAPHARMA;40000;28000;Non;2;2026-11-01;rayon
BLNE0001;BLEDINE BANANE LAIT;;BLEDINE BANANE LAIT;PARAPHARMA;PARAPHARMA;40000;28500;Non;19;2027-01-01;rayon
N°0000002;BLEDINE CACAO BISCUITE;;BLEDINE CACAO BISCUITE;PARAPHARMA;PARAPHARMA;60000;42000;Non;6;2027-01-01;rayon
BLD FRT;BLEDINE FRUITS LAIT;;BLEDINE FRUITS LAIT;PARAPHARMA;PARAPHARMA;40000;28500;Non;14;2027-09-01;rayon
N°00000003;BLEDINE MULTICEREALES;;BLEDINE MULTICEREALES;PARAPHARMA;PARAPHARMA;60000;42000;Non;3;2026-12-01;rayon
bldne10001;BLEDINE SAVEUR BISCUIT IMPO;;BLEDINE SAVEUR BISCUIT IMPO;PARAPHARMA;PARAPHARMA;60000;42500;Non;21;2027-04-01;rayon
NESTL20000;BLEDINE SAVEUR VANILLE GOURMANDE IMPO;;BLEDINE SAVEUR VANILLE GOURMANDE IMPO;PARAPHARMA;PARAPHARMA;60000;42500;Non;15;2027-04-01;rayon
BLDNE10000;BLEDINE SAVEUR VANILLE IMPO;;BLEDINE SAVEUR VANILLE IMPO;PARAPHARMA;PARAPHARMA;60000;42500;Non;2;2027-01-01;rayon
BDL01;BLEDINER CAROTTES PETITS POIS;;BLEDINER CAROTTES PETITS POIS;PARAPHARMA;PARAPHARMA;40000;28500;Non;1;2026-08-01;rayon
BDLNER0001;BLEDINER LEGUMES VARIES;;BLEDINER LEGUMES VARIES;PARAPHARMA;PARAPHARMA;40000;28000;Non;0;2026-08-01;rayon
BLNER0001;BLEDINER POTIRON;;BLEDINER POTIRON;PARAPHARMA;PARAPHARMA;40000;28500;Non;0;2026-06-15;rayon
BODY0003;BOBY NASAL ASPIRATOR;;BOBY NASAL ASPIRATOR;PARAPHARMA;PARAPHARMA;150000;100000;Non;3;2035-12-01;rayon
BACT009;BOL ALVARE;;BOL ALVARE;PARAPHARMA;PARAPHARMA;50000;0;Non;4;2030-03-01;rayon
ISAN002;BOL BOWL SET;;BOL BOWL SET;PARAPHARMA;PARAPHARMA;50000;0;Non;24;2042-01-01;rayon
8081031;BOL GOOD-LIFE;;BOL GOOD-LIFE;PARAPHARMA;PARAPHARMA;40000;0;Non;0;2030-12-01;rayon
IRIS002;BOL KALAS;;BOL KALAS;PARAPHARMA;PARAPHARMA;50000;0;Non;7;2040-11-01;rayon
278187;BOL MIKEY COMPLET;;BOL MIKEY COMPLET;PARAPHARMA;PARAPHARMA;50000;0;Non;0;2040-09-01;rayon
7423688;BOL SPIDERMAN COMPLET;;BOL SPIDERMAN COMPLET;PARAPHARMA;PARAPHARMA;50000;0;Non;0;2040-12-01;rayon
217094;BRISTEL LAVE BIBERON;;BRISTEL LAVE BIBERON;PARAPHARMA;PARAPHARMA;45000;0;Non;0;2045-06-01;rayon
BACT010;BROSSE CHOFR;;BROSSE CHOFR;PARAPHARMA;PARAPHARMA;15000;0;Non;0;2029-05-01;rayon
4077481;BROSSE CLASSIC;;BROSSE CLASSIC;PARAPHARMA;PARAPHARMA;20000;0;Non;0;2030-01-01;rayon
BR45;BROSSE COLGATE CHARBON;;BROSSE COLGATE CHARBON;PARAPHARMA;PARAPHARMA;10000;7000;Non;6;2030-12-01;rayon
594127;BROSSE COLGATE CLASSIQUE;;BROSSE COLGATE CLASSIQUE;PARAPHARMA;PARAPHARMA;10000;7500;Non;2;2030-02-01;rayon
PRES004;BROSSE COLGATE DOUBLE ACTION;;BROSSE COLGATE DOUBLE ACTION;PARAPHARMA;PARAPHARMA;10000;5000;Non;18;2030-05-01;rayon
BROS007;BROSSE COLGATE ENFANT 2-5 ANS;;BROSSE COLGATE ENFANT 2-5 ANS;PARAPHARMA;PARAPHARMA;20000;7500;Non;3;2030-11-01;rayon
SAIR001;BROSSE COLGATE INTENSE LOT3;;BROSSE COLGATE INTENSE LOT3;PARAPHARMA;PARAPHARMA;50000;0;Non;0;2027-01-01;rayon
PROT005;BROSSE COLGATE MEDIUM LOT DE 2;;BROSSE COLGATE MEDIUM LOT DE 2;PARAPHARMA;PARAPHARMA;20000;0;Non;0;2027-01-01;rayon
COLG012;BROSSE COLGATE ZIGZAG;;BROSSE COLGATE ZIGZAG;PARAPHARMA;PARAPHARMA;20000;13500;Non;0;2030-04-01;rayon
BROS001;BROSSE CONCORD;;BROSSE CONCORD;PARAPHARMA;PARAPHARMA;20000;15000;Non;0;2025-01-01;rayon
LUN0002;BROSSE DE NETOYAGE BABY SILICONE;;BROSSE DE NETOYAGE BABY SILICONE;PARAPHARMA;PARAPHARMA;30000;0;Non;0;2030-08-01;rayon
6100212;BROSSE DE NETOYAGE TAMME TOOPE;;BROSSE DE NETOYAGE TAMME TOOPE;PARAPHARMA;PARAPHARMA;40000;0;Non;0;2030-08-01;rayon
27557;BROSSE DE NETTOYAGE BIBERON;;BROSSE DE NETTOYAGE BIBERON;PARAPHARMA;PARAPHARMA;30000;0;Non;0;2028-01-01;rayon
brosse den;BROSSE DENTALUX ENFANT;;BROSSE DENTALUX ENFANT;PARAPHARMA;PARAPHARMA;0;0;Non;0;2030-12-01;rayon
brosse jun;BROSSE DENTALUX JUNIOR EXTRA SOUPLE;;BROSSE DENTALUX JUNIOR EXTRA SOUPLE;PARAPHARMA;PARAPHARMA;0;0;Non;0;2030-12-01;rayon
BR9854;BROSSE DENTILEX LOT DE 2;;BROSSE DENTILEX LOT DE 2;PARAPHARMA;PARAPHARMA;30000;0;Non;33;2030-01-01;rayon
KRUG004;BROSSE DR ORAL;;BROSSE DR ORAL;PARAPHARMA;PARAPHARMA;10000;0;Non;2;2041-08-01;rayon
BR0059;BROSSE ELECTRIQUE MONSTERS;;BROSSE ELECTRIQUE MONSTERS;PARAPHARMA;PARAPHARMA;120000;0;Non;12;2030-01-01;rayon
bros00001;BROSSE ENFANT 23;;BROSSE ENFANT 23;PARAPHARMA;PARAPHARMA;10000;7000;Non;14;2035-12-01;rayon
643;BROSSE ENFANT 3ANS;;BROSSE ENFANT 3ANS;PARAPHARMA;PARAPHARMA;15000;10500;Non;2;2030-12-01;rayon
BR004;BROSSE EURODONT;;BROSSE EURODONT;PARAPHARMA;PARAPHARMA;30000;0;Non;32;2030-01-01;rayon
BROS002;BROSSE JUNIOR KIDS;;BROSSE JUNIOR KIDS;PARAPHARMA;PARAPHARMA;30000;0;Non;0;2025-01-01;rayon
