Code,Nom,DCI,Marque,Categorie,Rayon,Prix Vente,Prix Achat,Rx,Quantite,Date de preremption
8524701,DEFRISANT OLIVE OIL GMA,,DEFRISANT OLIVE OIL GMA,PARAPHARMA,PARAPHARMA,90000,0,Non,0,43831
8551401,DEFRISANT OLIVE OIL GME,,DEFRISANT OLIVE OIL GME,PARAPHARMA,PARAPHARMA,90000,0,Non,0,43831
8554100,DEFRISANT OLIVE PMA,,DEFRISANT OLIVE PMA,PARAPHARMA,PARAPHARMA,60000,0,Non,0,43831
11676,DEGREE STICK,,DEGREE STICK,PARAPHARMA,PARAPHARMA,45000,0,Non,0,43831
DL0002,DELICAL,,DELICAL,PARAPHARMA,PARAPHARMA,40000,28500,Non,65,46478
DENT021,DENTAMYL JUNIOR,,DENTAMYL JUNIOR,PARAPHARMA,PARAPHARMA,30000,0,Non,0,51806
PRES002,DENTIFRICE COLGATE HERBAL,,DENTIFRICE COLGATE HERBAL,PARAPHARMA,PARAPHARMA,15000,16600,Non,0,46388
115140,DENTIFRICE COLGATE TOTAL 170ML,,DENTIFRICE COLGATE TOTAL 170ML,PARAPHARMA,PARAPHARMA,50000,0,Non,10,47818
PRES014,DENTIFRICE DENTALUX JUNIOR,,DENTIFRICE DENTALUX JUNIOR,PARAPHARMA,PARAPHARMA,25000,0,Non,0,46388
DEN0048,DENTIFRICE DENTILEX,,DENTIFRICE DENTILEX,PARAPHARMA,PARAPHARMA,35000,0,Non,30,47484
8107705,DENTIFRICE FRESH 2 IN 1,,DENTIFRICE FRESH 2 IN 1,PARAPHARMA,PARAPHARMA,30000,0,Non,0,46388
285511,DENTIFRICE ORAL B,,DENTIFRICE ORAL B,PARAPHARMA,PARAPHARMA,50000,0,Non,14,46388
97872,DENTIFRICE SENSODYNE SOIN COMPLET,,DENTIFRICE SENSODYNE SOIN COMPLET,PARAPHARMA,PARAPHARMA,60000,60000,Non,2,47818
PATE004,DENTIFRICE SIGNAL 3 A 6ANS,,DENTIFRICE SIGNAL 3 A 6ANS,PARAPHARMA,PARAPHARMA,25000,35000,Non,0,46388
PRES006,DENTIFRICE SIGNAL DOSEUR,,DENTIFRICE SIGNAL DOSEUR,PARAPHARMA,PARAPHARMA,50000,0,Non,19,46388
SIG5548,DENTIFRICE SIGNAL KIDS 0-6ANS,,DENTIFRICE SIGNAL KIDS 0-6ANS,PARAPHARMA,PARAPHARMA,30000,0,Non,29,47484
2076,DENTRICE DENTAMYL 7-13,,DENTRICE DENTAMYL 7-13,PARAPHARMA,PARAPHARMA,30000,17000,Non,0,47392
SAVO012,DENTRIFICE COLGATE MAX FRESH BLEU,,DENTRIFICE COLGATE MAX FRESH BLEU,PARAPHARMA,PARAPHARMA,20000,0,Non,2,47574
SILC001,DENTRIFICE COLGATE MAX FRESH ROUGE,,DENTRIFICE COLGATE MAX FRESH ROUGE,PARAPHARMA,PARAPHARMA,20000,0,Non,18,47515
